epoch,epsilon,steps,reward,loss
25,0.7339491974612334,125,15.330188679245024,0.22182267904281616
50,0.5358874120722265,116,-0.20880503144643475,0.4171801805496216
75,0.41010396921839853,100,-0.23809523809523198,0.2733891010284424
100,0.3189703479001352,125,14.224137931034168,0.207028329372406
125,0.24104512080880044,152,22.803908794787738,0.1616680771112442
150,0.17626146481917113,153,18.073063973063537,0.2658766806125641
175,0.12925057694403003,125,25.833333333333,0.4256564676761627
200,0.0999969960769904,112,-0.2666666666667955,0.35119161009788513
225,0.0999969960769904,95,-0.23144876325094726,0.3143572509288788
250,0.0999969960769904,125,29.37898089171933,0.263984739780426
275,0.0999969960769904,81,-0.27597597597596224,0.22803866863250732
300,0.0999969960769904,122,-0.014634146341460097,0.1734571009874344
325,0.0999969960769904,125,27.248201438848483,0.2509065568447113
350,0.0999969960769904,100,-0.26022304832720355,0.16813841462135315
375,0.0999969960769904,273,240.90701754386248,0.11258195340633392
400,0.0999969960769904,125,31.704152249134516,0.09238122403621674
425,0.0999969960769904,125,4.924242424242193,0.14940482378005981
450,0.0999969960769904,60,-0.19584569732933027,0.08628743886947632
475,0.0999969960769904,125,87.96125461254752,0.43814969062805176
500,0.0999969960769904,125,57.581967213115526,1.0255924463272095
