epoch,epsilon,steps,reward,loss
25,1.0,43,-0.1204472843450205,0.18469181656837463
50,1.0,178,77.74754098360803,0.3020949363708496
75,1.0,84,-0.28896797153018217,0.36818283796310425
100,1.0,169,173.38026755853062,0.8652387857437134
125,1.0,284,423.7605734766961,1.4915523529052734
150,1.0,263,463.18754208753313,1.6907113790512085
175,1.0,145,234.47833935018193,2.0711417198181152
200,1.0,297,715.3280442804331,1.5848088264465332
225,1.0,135,266.94336569579156,2.2210230827331543
250,1.0,301,794.3153846153706,2.4261295795440674
275,1.0,194,483.7580419580372,3.724439859390259
300,1.0,293,830.8279151943319,6.1303253173828125
325,1.0,130,361.72202166064665,2.7246055603027344
350,1.0,151,367.07113402061555,4.079409122467041
375,1.0,151,295.3249999999978,3.5516481399536133
400,1.0,104,22.0531531531542,4.430627822875977
425,1.0,125,8.477011494252544,5.655481815338135
450,1.0,125,245.18551236749246,4.001043796539307
475,1.0,224,328.43862928348335,17.119070053100586
500,1.0,295,880.0314685314524,3.225399971008301
525,1.0,374,712.4268656716258,5.208733558654785
550,1.0,153,373.07233201580794,9.057964324951172
575,1.0,127,216.3169611307433,4.170995712280273
600,1.0,134,313.3353535353517,7.45155143737793
625,1.0,276,563.8165413533758,7.130064487457275
650,1.0,185,518.3255033556993,5.457911491394043
675,1.0,63,-0.1030075187969427,6.275949478149414
700,1.0,321,748.7184501844929,6.005288124084473
725,1.0,130,351.15151515151314,5.296597957611084
750,1.0,293,719.660137457029,7.385019302368164
775,1.0,294,825.0075471698019,5.175440788269043
800,1.0,167,432.29436619717967,5.241158485412598
825,1.0,146,313.3428571428523,6.063446998596191
850,1.0,309,850.2530201342122,5.135989189147949
875,1.0,153,211.24285714285867,5.549212455749512
900,1.0,140,274.61442006269505,4.326681137084961
925,1.0,259,704.3069204152168,8.385847091674805
950,1.0,285,774.0317725752348,6.489314079284668
975,1.0,288,812.9055555555404,4.628292560577393
1000,1.0,125,148.10606060606196,8.495845794677734
