epoch,epsilon,steps,reward,loss
25,1.0,126,38.24562737642546,0.5303622484207153
50,1.0,125,57.57042253521127,1.0001871585845947
75,1.0,158,115.47878787878953,0.5575715899467468
100,1.0,488,783.1302013422597,1.074639081954956
125,1.0,133,225.673770491805,21.815744400024414
150,1.0,359,892.2999999999834,1.210265040397644
175,1.0,313,789.3116788321026,1.559025526046753
200,1.0,313,862.962745098021,1.4687185287475586
225,1.0,128,242.42191780822014,2.9543254375457764
250,1.0,198,316.8711864406764,2.9426915645599365
275,1.0,279,879.3996309963019,2.5717525482177734
300,1.0,191,370.85249266861587,4.0457763671875
325,1.0,125,263.86986301369603,6.648283004760742
350,1.0,125,182.24522292993774,4.583646297454834
375,1.0,197,574.7028169014015,3.326913833618164
400,1.0,234,755.4578947368311,3.4378371238708496
425,1.0,197,442.6064846416326,2.143890857696533
450,1.0,175,591.4393939393882,2.9757003784179688
475,1.0,335,851.8809523809446,3.220283269882202
500,1.0,334,752.148993288576,6.2368059158325195
525,1.0,147,441.6142857142809,3.144057273864746
550,1.0,215,524.9039735099286,2.5942792892456055
575,1.0,122,34.042635658916055,2.771780252456665
600,1.0,202,599.3326599326508,5.388266563415527
625,1.0,300,774.7798742138199,4.681547164916992
650,1.0,232,554.6603550295777,3.4706568717956543
675,1.0,125,158.79629629629778,6.965072154998779
700,1.0,296,811.1999999999846,5.147002220153809
725,1.0,296,857.5722397476219,3.071897268295288
750,1.0,137,428.43405017920776,5.650234222412109
775,1.0,125,300.68181818181506,6.436126708984375
800,1.0,266,746.1385665528868,6.821421146392822
825,1.0,191,636.7298507462598,8.73908519744873
850,1.0,186,511.2103092783466,6.103089809417725
875,1.0,263,921.0999999999912,10.772582054138184
900,1.0,253,883.9540145985252,3.829376220703125
925,1.0,301,842.0843416369979,6.630647659301758
950,1.0,282,908.1007299269902,4.065372943878174
975,1.0,251,859.4826086956459,8.403467178344727
1000,1.0,316,794.7705521472274,4.783848762512207
